filename cpuseconds wallseconds overhead
dsgdb9nsd_001354 306.73 366.82 1.19591
dsgdb9nsd_000319 116.74 133.73 1.14554
dsgdb9nsd_003803 117.19 133.62 1.1402
dsgdb9nsd_002568 183.16 196.41 1.07234
dsgdb9nsd_000248 243.82 308.1 1.26364
dsgdb9nsd_003680 207.2 247.62 1.19508
dsgdb9nsd_000301 123.59 160.27 1.29679
dsgdb9nsd_001194 433.68 560.33 1.29204
dsgdb9nsd_002055 135.06 150.38 1.11343
dsgdb9nsd_003718 216.39 269.17 1.24391
dsgdb9nsd_001561 297.82 349.72 1.17427
dsgdb9nsd_002070 249.23 288.25 1.15656
dsgdb9nsd_002400 199.48 234.9 1.17756
dsgdb9nsd_000731 95.77 110.95 1.1585
dsgdb9nsd_003183 275.01 293.18 1.06607
dsgdb9nsd_000321 45.81 59.31 1.2947
dsgdb9nsd_000136 125.18 133.68 1.0679
dsgdb9nsd_002379 375.51 450.27 1.19909
dsgdb9nsd_004177 238.21 307.21 1.28966
dsgdb9nsd_004554 194.88 233.47 1.19802
dsgdb9nsd_002601 265.85 305.09 1.1476
dsgdb9nsd_001828 105.06 114.36 1.08852
dsgdb9nsd_002325 384.33 480.43 1.25005
dsgdb9nsd_000145 99.66 110.53 1.10907
dsgdb9nsd_001663 417.04 526.77 1.26312
dsgdb9nsd_003291 181.66 216.02 1.18914
dsgdb9nsd_004155 247.12 300.09 1.21435
dsgdb9nsd_000040 48.86 49.69 1.01699
dsgdb9nsd_004298 203.71 261.6 1.28418
dsgdb9nsd_001624 542.11 657.86 1.21352
dsgdb9nsd_002567 131.2 148.52 1.13201
dsgdb9nsd_004782 339.65 405.85 1.19491
dsgdb9nsd_001070 122.2 127.4 1.04255
dsgdb9nsd_001706 292.68 341.94 1.16831
dsgdb9nsd_004259 157.43 183.82 1.16763
dsgdb9nsd_000949 115.59 147.7 1.27779
dsgdb9nsd_002539 304.39 350.63 1.15191
dsgdb9nsd_002981 155.58 172.94 1.11158
dsgdb9nsd_004536 215.21 276.39 1.28428
dsgdb9nsd_001568 349.85 417.28 1.19274
dsgdb9nsd_001737 185.71 237.17 1.2771
dsgdb9nsd_003448 191.26 223.56 1.16888
dsgdb9nsd_001697 150.09 183.31 1.22133
dsgdb9nsd_002744 241.78 307.54 1.27198
dsgdb9nsd_001975 349.71 431.85 1.23488
dsgdb9nsd_003741 326.23 405.53 1.24308
dsgdb9nsd_003739 173.51 199.38 1.1491
dsgdb9nsd_002703 231.04 285.04 1.23373
dsgdb9nsd_004776 180.2 228.45 1.26776
dsgdb9nsd_003916 540.24 645.77 1.19534
dsgdb9nsd_002536 265.33 312.09 1.17623
dsgdb9nsd_002484 249.99 295.7 1.18285
dsgdb9nsd_002889 140.63 146.28 1.04018
dsgdb9nsd_004306 161.6 184.1 1.13923
dsgdb9nsd_002678 229.52 273.72 1.19258
dsgdb9nsd_001521 171.39 215.59 1.25789
dsgdb9nsd_002757 277.53 358.23 1.29078
dsgdb9nsd_004936 253.22 318.18 1.25654
dsgdb9nsd_000558 220.41 259.49 1.17731
dsgdb9nsd_001016 86.74 97.15 1.12001
dsgdb9nsd_003723 130.46 151.37 1.16028
dsgdb9nsd_004312 404.7 523.11 1.29259
dsgdb9nsd_000461 112.84 115.68 1.02517
dsgdb9nsd_000500 78.46 87.55 1.11586
dsgdb9nsd_002410 188.18 215.44 1.14486
dsgdb9nsd_001263 371.42 469.0 1.26272
dsgdb9nsd_003867 137.02 157.08 1.1464
dsgdb9nsd_001751 212.75 241.71 1.13612
dsgdb9nsd_000478 121.97 129.4 1.06092
dsgdb9nsd_001398 178.93 200.55 1.12083
dsgdb9nsd_000636 133.11 170.63 1.28187
dsgdb9nsd_004577 163.08 191.78 1.17599
dsgdb9nsd_002260 382.48 472.38 1.23504
dsgdb9nsd_001149 194.74 237.85 1.22137
dsgdb9nsd_000515 73.54 84.13 1.144
dsgdb9nsd_003559 121.69 137.43 1.12935
dsgdb9nsd_003329 255.98 306.44 1.19712
dsgdb9nsd_002113 106.53 133.34 1.25167
dsgdb9nsd_002508 118.08 135.6 1.14837
dsgdb9nsd_000044 46.12 47.05 1.02016
dsgdb9nsd_002922 263.58 326.86 1.24008
dsgdb9nsd_000387 255.06 297.39 1.16596
dsgdb9nsd_003627 144.13 164.51 1.1414
dsgdb9nsd_000008 15.33 15.69 1.02348
dsgdb9nsd_003939 73.57 85.89 1.16746
dsgdb9nsd_002621 94.74 100.51 1.0609
dsgdb9nsd_002279 362.21 432.65 1.19447
dsgdb9nsd_001754 284.38 321.16 1.12933
dsgdb9nsd_003786 219.36 247.67 1.12906
dsgdb9nsd_003513 180.93 214.35 1.18471
dsgdb9nsd_001079 140.47 155.75 1.10878
dsgdb9nsd_002599 161.49 200.09 1.23902
dsgdb9nsd_002590 136.86 159.51 1.1655
dsgdb9nsd_002405 233.93 261.32 1.11709
dsgdb9nsd_000032 34.57 35.85 1.03703
dsgdb9nsd_000079 154.93 188.22 1.21487
dsgdb9nsd_001072 323.45 367.82 1.13718
dsgdb9nsd_003149 123.02 148.41 1.20639
dsgdb9nsd_002230 217.17 280.33 1.29083
dsgdb9nsd_004424 137.02 158.83 1.15917
dsgdb9nsd_002592 237.34 278.49 1.17338
dsgdb9nsd_003805 107.07 128.34 1.19866
dsgdb9nsd_001791 255.31 307.56 1.20465
dsgdb9nsd_003207 302.88 352.29 1.16313
