,index,label,allocatable,timelimit,waiting
0,0,cscs,1,0.5,252.23140495867767
1,1,cscs,1,2.0,1461.26582278481
2,2,cscs,1,6.0,1054.0471092077087
3,3,cscs,1,12.0,6269.909365558912
4,4,cscs,1,24.0,9430.86949947074
5,5,cscs,2,0.5,667.3271889400921
6,6,cscs,2,2.0,450.7317073170732
7,7,cscs,2,6.0,751.1538461538462
8,8,cscs,2,12.0,9003.870967741936
9,9,cscs,2,24.0,41336.666666666664
10,10,cscs,4,0.5,506.83119447186573
11,11,cscs,4,2.0,33575.294117647056
12,12,cscs,4,6.0,11707.45886654479
13,13,cscs,4,12.0,23233.19266055046
14,14,cscs,4,24.0,26426.624561403507
15,15,cscs,8,0.5,971.062124248497
16,16,cscs,8,2.0,6754.666666666667
17,17,cscs,8,6.0,9448.235294117647
18,18,cscs,8,12.0,87560.0
19,19,cscs,8,24.0,43157.6394984326
20,20,cscs,16,0.5,679.2
21,21,cscs,16,2.0,12177.362637362638
22,22,cscs,16,6.0,4393.333333333333
23,23,cscs,16,12.0,221887.36429872495
24,24,cscs,16,24.0,6628.485169491525
25,25,cscs,32,0.5,2254.1605839416056
26,26,cscs,32,2.0,36407.36842105263
27,27,cscs,32,6.0,3573.586956521739
28,28,cscs,32,12.0,4105.609756097561
29,29,cscs,32,24.0,81656.64406779662
30,30,cscs,64,0.5,2367.394540942928
31,31,cscs,64,2.0,9894.961832061068
32,32,cscs,64,6.0,30594.0
33,33,cscs,64,12.0,11473.333333333334
34,34,cscs,64,24.0,37795.80808080808
35,35,cscs,128,0.5,11261.052631578947
36,36,cscs,128,2.0,17387.058823529413
37,37,cscs,128,6.0,10668.0
38,38,cscs,128,12.0,58522.5
39,39,cscs,128,24.0,49935.096153846156
40,40,scicore,1,0.5,187.78681395059198
41,41,scicore,1,2.0,542.8381846635368
42,42,scicore,1,6.0,7961.004202368345
43,43,scicore,1,12.0,6.611111111111111
44,44,scicore,1,24.0,2592.3131283569755
45,45,scicore,2,0.5,71.5033407572383
46,46,scicore,2,2.0,1431.858695652174
47,47,scicore,2,6.0,1.5714285714285714
48,48,scicore,2,12.0,0.4
49,49,scicore,2,24.0,0.0
50,50,scicore,4,0.5,780.4130941286114
51,51,scicore,4,2.0,3.7358490566037736
52,52,scicore,4,6.0,5.444444444444445
53,53,scicore,4,12.0,1.0
54,54,scicore,4,24.0,222.0987215909091
55,55,scicore,8,0.5,2094.1412684272536
56,56,scicore,8,2.0,5867.628358208955
57,57,scicore,8,6.0,5095.145232815965
58,58,scicore,8,12.0,898.9916666666667
59,59,scicore,8,24.0,97122.4039829303
60,60,scicore,16,0.5,1.1044776119402986
61,61,scicore,16,6.0,51.63247863247863
62,62,scicore,16,12.0,346443.25081478886
63,63,scicore,16,24.0,5970.849246231156
64,64,scicore,32,6.0,2674.1702127659573
65,65,scicore,32,24.0,345.2916666666667
66,66,scicore,64,6.0,8.545454545454545
67,67,scicore,64,24.0,65.04761904761905
68,68,scicore,128,6.0,16.333333333333332
69,69,scicore,128,24.0,294.6666666666667
70,0,scicore,16,2.0,16025.259383133041
71,1,scicore,32,0.5,16025.259383133041
72,2,scicore,32,2.0,16025.259383133041
73,3,scicore,32,12.0,16025.259383133041
74,4,scicore,64,0.5,16025.259383133041
75,5,scicore,64,2.0,16025.259383133041
76,6,scicore,64,12.0,16025.259383133041
77,7,scicore,128,0.5,16025.259383133041
78,8,scicore,128,2.0,16025.259383133041
79,9,scicore,128,12.0,16025.259383133041
